name,desc
gsw_add_barrier,"Adds a barrier through Central America (Panama) and then averages
over the appropriate side of the barrier"
gsw_add_mean,Replaces NaN's with non-nan mean of the 4 adjacent neighbours
gsw_adiabatic_lapse_rate_from_ct,Calculates the adiabatic lapse rate from Conservative Temperature
gsw_adiabatic_lapse_rate_ice,Calculates the adiabatic lapse rate of ice.
gsw_alpha,"Calculates the thermal expansion coefficient of seawater with respect to 
Conservative Temperature using the computationally-efficient 48-term 
expression for density in terms of SA, CT and p (IOC et al., 2010)"
gsw_alpha_on_beta,"Calculates alpha divided by beta, where alpha is the thermal expansion
coefficient and beta is the saline contraction coefficient of seawater 
from Absolute Salinity and Conservative Temperature.  This function uses
the computationally-efficient expression for specific volume in terms of 
SA, CT and p (Roquet et al., 2014)."
gsw_alpha_wrt_t_exact,"Calculates thermal expansion coefficient of seawater with respect to 
in-situ temperature"
gsw_alpha_wrt_t_ice,"Calculates the thermal expansion coefficient of ice with respect to  
in-situ temperature."
gsw_beta,"Calculates the saline (i.e. haline) contraction coefficient of seawater  
at constant Conservative Temperature using the computationally-efficient
expression for specific volume in terms of SA, CT and p 
(Roquet et al., 2014)."
gsw_beta_const_t_exact,"Calculates saline (haline) contraction coefficient of seawater at 
constant in-situ temperature."
gsw_c_from_sp,"Calculates conductivity, C, from (SP,t,p) using PSS-78 in the range
2 < SP < 42.  If the input Practical Salinity is less than 2 then a
modified form of the Hill et al. (1986) fomula is used for Practical
Salinity.  The modification of the Hill et al. (1986) expression is to
ensure that it is exactly consistent with PSS-78 at SP = 2.
The conductivity ratio returned by this function is consistent with the
input value of Practical Salinity, SP, to 2x10^-14 psu over the full
range of input parameters (from pure fresh water up to SP = 42 psu).
This error of 2x10^-14 psu is machine precision at typical seawater
salinities.  This accuracy is achieved by having four different
polynomials for the starting value of Rtx (the square root of Rt) in
four different ranges of SP, and by using one and a half iterations of
a computationally efficient modified Newton-Raphson technique (McDougall
and Wotherspoon, 2012) to find the root of the equation.
Note that strictly speaking PSS-78 (Unesco, 1983) defines Practical
Salinity in terms of the conductivity ratio, R, without actually
specifying the value of C(35,15,0) (which we currently take to be
42.9140 mS/cm)."
gsw_cabbeling,"Calculates the cabbeling coefficient of seawater with respect to  
Conservative Temperature.  This function uses the computationally-
efficient expression for specific volume in terms of SA, CT and p
(Roquet et al., 2014)."
gsw_chem_potential_water_ice,"Calculates the chemical potential of water in ice from in-situ
temperature and pressure."
gsw_chem_potential_water_t_exact,Calculates the chemical potential of water in seawater.
gsw_cp_ice,Calculates the isobaric heat capacity of seawater.
gsw_cp_t_exact,Calculates isobaric heat capacity of seawater
gsw_ct_first_derivatives,"Calculates the following two derivatives of Conservative Temperature
(1) CT_SA, the derivative with respect to Absolute Salinity at 
constant potential temperature (with pr = 0 dbar), and
2) CT_pt, the derivative with respect to potential temperature
(the regular potential temperature which is referenced to 0 dbar)
at constant Absolute Salinity."
gsw_ct_first_derivatives_wrt_t_exact,"Calculates the following three derivatives of Conservative Temperature.
These derivatives are done with respect to in-situ temperature t (in the
case of CT_T_wrt_t) or at constant in-situ tempertature (in the cases of
CT_SA_wrt_t and CT_P_wrt_t).  
(1) CT_SA_wrt_t, the derivative of CT with respect to Absolute Salinity 
at constant t and p, and
(2) CT_T_wrt_t, derivative of CT with respect to in-situ temperature t 
at constant SA and p. 
(3) CT_P_wrt_t, derivative of CT with respect to pressure P (in Pa) at  
constant SA and t.    
This function uses the full Gibbs function. Note that this function
avoids the NaN that would exist in CT_SA_wrt_t at SA = 0 if it were
evaluated in the straightforward way from the derivatives of the Gibbs 
function function."
gsw_ct_freezing,"Calculates the Conservative Temperature at which seawater freezes.  The
Conservative Temperature freezing point is calculated from the exact
in-situ freezing temperature which is found by a modified Newton-Raphson
iteration (McDougall and Wotherspoon, 2013) of the equality of the
chemical potentials of water in seawater and in ice.
An alternative GSW function, gsw_CT_freezing_poly, it is based on a
computationally-efficient polynomial, and is accurate to within -5e-4 K
and 6e-4 K, when compared with this function."
gsw_ct_freezing_first_derivatives,"Calculates the first derivatives of the Conservative Temperature at
which seawater freezes, with respect to Absolute Salinity SA and
pressure P (in Pa)."
gsw_ct_freezing_first_derivatives_poly,"Calculates the first derivatives of the Conservative Temperature at
which seawater freezes, with respect to Absolute Salinity SA and
pressure P (in Pa) of the comptationally efficient polynomial fit of the
freezing temperature (McDougall et al., 2014)."
gsw_ct_freezing_poly,"Calculates the Conservative Temperature at which seawater freezes.
The error of this fit ranges between -5e-4 K and 6e-4 K when compared 
with the Conservative Temperature calculated from the exact in-situ 
freezing temperature which is found by a Newton-Raphson iteration of the 
equality of the chemical potentials of water in seawater and in ice.  
Note that the Conservative temperature freezing temperature can be found
by this exact method using the function gsw_CT_freezing."
gsw_ct_from_enthalpy,"Calculates the Conservative Temperature of seawater, given the Absolute 
Salinity, specific enthalpy, h, and pressure p."
gsw_ct_from_enthalpy_exact,"Calculates the Conservative Temperature of seawater, given the Absolute 
Salinity, specific enthalpy, h, and pressure p."
gsw_ct_from_entropy,Calculates Conservative Temperature with entropy as an input variable.
gsw_ct_from_pt,Calculates Conservative Temperature from potential temperature of seawater
gsw_ct_from_rho,"Calculates the Conservative Temperature of a seawater sample, for given
values of its density, Absolute Salinity and sea pressure (in dbar)."
gsw_ct_from_t,Calculates Conservative Temperature from in-situ temperature
gsw_ct_maxdensity,"Calculates the Conservative Temperature of maximum density of seawater. 
This function returns the Conservative temperature at which the density
of seawater is a maximum, at given Absolute Salinity, SA, and sea 
pressure, p (in dbar)."
gsw_ct_second_derivatives,"Calculates the following three, second-order derivatives of Conservative
Temperature
(1) CT_SA_SA, the second derivative with respect to Absolute Salinity
at constant potential temperature (with p_ref = 0 dbar),
(2) CT_SA_pt, the derivative with respect to potential temperature
(the regular potential temperature which is referenced to 0 dbar)
and Absolute Salinity, and
(3) CT_pt_pt, the second derivative with respect to potential
temperature (the regular potential temperature which is referenced
to 0 dbar) at constant Absolute Salinity."
gsw_deltasa_from_sp,"Calculates Absolute Salinity Anomaly, deltaSA, from Practical Salinity, SP."
gsw_dilution_coefficient_t_exact,"Calculates the dilution coefficient of seawater.  The dilution 
coefficient of seawater is defined as the Absolute Salinity times the 
second derivative of the Gibbs function with respect to Absolute 
Salinity, that is, SA.*g_SA_SA."
gsw_dynamic_enthalpy,"Calculates dynamic enthalpy of seawater using the computationally-
efficient expression for specific volume in terms of SA, CT and p
(Roquet et al., 2014).  Dynamic enthalpy is defined as enthalpy minus
|  potential enthalpy (Young, 2010)."
gsw_enthalpy,"Calculates specific enthalpy of seawater using the computationally-
efficient expression for specific volume in terms of SA, CT and p
(Roquet et al., 2014)."
gsw_enthalpy_ct_exact,"Calculates specific enthalpy of seawater from Absolute Salinity and 
Conservative Temperature and pressure.  
Note that this function uses the full Gibbs function."
gsw_enthalpy_diff,"Calculates the difference of the specific enthalpy of seawater between 
two different pressures, p_deep (the deeper pressure) and p_shallow
(the shallower pressure), at the same values of SA and CT.  This 
function uses the computationally-efficient expression for specific 
volume in terms of SA, CT and p (Roquet et al., 2014).  The output
(enthalpy_diff_CT) is the specific enthalpy evaluated at (SA,CT,p_deep)
minus the specific enthalpy at (SA,CT,p_shallow)."
gsw_enthalpy_first_derivatives,"Calculates the following two derivatives of specific enthalpy (h) of
seawater using the computationally-efficient expression for 
specific volume in terms of SA, CT and p (Roquet et al., 2014).  
(1) h_SA, the derivative with respect to Absolute Salinity at 
constant CT and p, and
(2) h_CT, derivative with respect to CT at constant SA and p. 
Note that h_P is specific volume (1/rho) it can be caclulated by calling
gsw_specvol(SA,CT,p)."
gsw_enthalpy_first_derivatives_ct_exact,"Calculates the following two derivatives of specific enthalpy (h)
(1) h_SA, the derivative with respect to Absolute Salinity at
constant CT and p, and
(2) h_CT, derivative with respect to CT at constant SA and p.
Note that h_P is specific volume (1/rho) it can be calulated by calling
gsw_specvol_CT_exact(SA,CT,p). This function uses the full Gibbs function."
gsw_enthalpy_ice,Calculates the specific enthalpy of ice (h_Ih).
gsw_enthalpy_second_derivatives,"Calculates the following three second-order derivatives of specific
enthalpy (h),using the computationally-efficient expression for 
specific volume in terms of SA, CT and p (Roquet et al., 2014).
(1) h_SA_SA, second-order derivative with respect to Absolute Salinity 
at constant CT & p.
(2) h_SA_CT, second-order derivative with respect to SA & CT at 
constant p. 
(3) h_CT_CT, second-order derivative with respect to CT at constant SA 
and p."
gsw_enthalpy_second_derivatives_ct_exact,"Calculates three second-order derivatives of specific enthalpy (h).
Note that this function uses the full Gibbs function."
gsw_enthalpy_sso_0,"This function calculates enthalpy at the Standard Ocean Salinity, SSO,
and at a Conservative Temperature of zero degrees C, as a function of
pressure, p, in dbar, using a streamlined version of the
computationally-efficient expression for specific volume, that is, a
streamlined version of the code ""gsw_enthalpy(SA,CT,p)""."
gsw_enthalpy_t_exact,Calculates the specific enthalpy of seawater
gsw_entropy_first_derivatives,"Calculates the following two partial derivatives of specific entropy
(eta) 
(1) eta_SA, the derivative with respect to Absolute Salinity at 
constant Conservative Temperature, and
(2) eta_CT, the derivative with respect to Conservative Temperature at 
constant Absolute Salinity."
